epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
329.0,0.005915716,0.05595572,0.01865744,0.004942215,0.05404501,0.01779078
330.0,0.005903904,0.05589026,0.01863406,0.004906144,0.05390125,0.0177371
331.0,0.005901434,0.05584065,0.0186184,0.004908316,0.05381407,0.01771121
332.0,0.00590702,0.05574066,0.01859019,0.004943154,0.05367485,0.01767862
333.0,0.005917384,0.0556254,0.01855893,0.004989962,0.05354273,0.01765169
334.0,0.005932938,0.05553754,0.01853757,0.005049013,0.05345253,0.01764114
335.0,0.005937622,0.05548786,0.01852419,0.005099905,0.05345859,0.01765761
336.0,0.005940003,0.05543645,0.01850956,0.005131629,0.05344798,0.01766359
337.0,0.005941079,0.05538475,0.01849442,0.005180373,0.05341453,0.0176677
338.0,0.005914924,0.05536659,0.01848059,0.005144584,0.05338051,0.01764694
339.0,0.005902024,0.05533571,0.01846721,0.00512276,0.05330782,0.0176186
340.0,0.005912424,0.05528552,0.0184555,0.005134248,0.05321927,0.01759516
341.0,0.005931504,0.05519204,0.01843364,0.00516314,0.05306926,0.01755827
342.0,0.006430156,0.05511038,0.01857585,0.005855491,0.05286732,0.0177139
